id,SERP,URLs,URLs_cleaned
26,https://www.google.com/search?q=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&sca_esv=eab902f88a49963b&source=hp&ei=hhoMZ8bYOqeskdUPneuu4AE&iflsig=AL9hbdgAAAAAZwwolvYndT-_nTt8RdcjySpREnNJil0c&ved=0ahUKEwjGs5f-hoyJAxUnVqQEHZ21CxwQ4dUDCA8&uact=5&oq=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&gs_lp=Egdnd3Mtd2l6IjN2ZW50YSBkZSBwbGFudGFzIHZpdmVyb3MgZW4gbGEgQ29tdW5pZGFkIFZhbGVuY2lhbmFImBBQAFiYDnAAeACQAQCYAcEBoAHDBaoBAzAuNLgBA8gBAPgBAZgCAKACAJgDAJIHAKAH_SM&sclient=gws-wiz#,None,None
27,https://www.google.com/preferences?lang=1&hl=es&sa=X&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQiIQCKAN6BAgKEAY#languages,None,None
28,https://www.google.com/history/optout?hl=es,None,None
29,https://www.google.com/safesearch?prev=https://www.google.com/search?q%3Dventa%2Bde%2Bplantas%2Bviveros%2Ben%2Bla%2BComunidad%2BValenciana%26sca_esv%3Deab902f88a49963b%26source%3Dhp%26ei%3DhhoMZ8bYOqeskdUPneuu4AE%26iflsig%3DAL9hbdgAAAAAZwwolvYndT-_nTt8RdcjySpREnNJil0c%26ved%3D0ahUKEwjGs5f-hoyJAxUnVqQEHZ21CxwQ4dUDCA8%26uact%3D5%26oq%3Dventa%2Bde%2Bplantas%2Bviveros%2Ben%2Bla%2BComunidad%2BValenciana%26gs_lp%3DEgdnd3Mtd2l6IjN2ZW50YSBkZSBwbGFudGFzIHZpdmVyb3MgZW4gbGEgQ29tdW5pZGFkIFZhbGVuY2lhbmFImBBQAFiYDnAAeACQAQCYAcEBoAHDBaoBAzAuNLgBA8gBAPgBAZgCAKACAJgDAJIHAKAH_SM%26sclient%3Dgws-wiz&sa=X&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQ8JsIegQIChAM,None,None
30,https://www.google.com/preferences?lang=1&hl=es&prev=https://www.google.com/search?q%3Dventa%2Bde%2Bplantas%2Bviveros%2Ben%2Bla%2BComunidad%2BValenciana%26sca_esv%3Deab902f88a49963b#languages,None,None
31,https://www.google.com/setprefs?hl=es&prev=https://www.google.com/search?q%3Dventa%2Bde%2Bplantas%2Bviveros%2Ben%2Bla%2BComunidad%2BValenciana%26sca_esv%3Deab902f88a49963b%26source%3Dhp%26ei%3DhhoMZ8bYOqeskdUPneuu4AE%26iflsig%3DAL9hbdgAAAAAZwwolvYndT-_nTt8RdcjySpREnNJil0c%26ved%3D0ahUKEwjGs5f-hoyJAxUnVqQEHZ21CxwQ4dUDCA8%26uact%3D5%26oq%3Dventa%2Bde%2Bplantas%2Bviveros%2Ben%2Bla%2BComunidad%2BValenciana%26gs_lp%3DEgdnd3Mtd2l6IjN2ZW50YSBkZSBwbGFudGFzIHZpdmVyb3MgZW4gbGEgQ29tdW5pZGFkIFZhbGVuY2lhbmFImBBQAFiYDnAAeACQAQCYAcEBoAHDBaoBAzAuNLgBA8gBAPgBAZgCAKACAJgDAJIHAKAH_SM%26sclient%3Dgws-wiz%26pccc%3D1&sig=0_s8xPje8JxL2e-Kllq9toYLSoY-I%3D&cs=2&sa=X&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQqsEHegQIChAO&ictx=1,None,None
32,https://www.google.com/preferences?hl=es&prev=https://www.google.com/search?q%3Dventa%2Bde%2Bplantas%2Bviveros%2Ben%2Bla%2BComunidad%2BValenciana%26sca_esv%3Deab902f88a49963b,None,None
33,https://support.google.com/websearch/?p=dsrp_search_hc&hl=es,None,None
34,https://policies.google.com/privacy?hl=es&fg=1,None,None
35,https://policies.google.com/terms?hl=es&fg=1,None,None
